材料牌号或名称,名称备注,材料种类,材料成份,分子量,材料结构,材料特性,熔点,沸点,玻璃化转变温度,密度,硬度,结晶度,分解温度,pH值,摩擦系数,粘度,弹性模量,屈服强度,抗压强度,抗张强度,抗弯强度,切变强度,冲击强度,断后伸长率,断面收缩率,表面张力,表面自由能,熔化热,蒸发热,反应热,热膨胀系数,折射率,介电常数,电阻率,导电率,磁化率,表面电位,细胞毒性 ,全身毒性   ,遗传毒性 ,免疫毒性  ,刺激与致敏性,生物降解性,血液相容性,生物力学相容性,分子生物相容性,组织相容性,凝血活性,制备/加工,备注,应用,数据来源,数据整理人,数据校对人
聚丙烯酸酯,polyacrylate,,以丙烯酸醋类为单体的均聚物或共聚物,,,丙烯酸酯类一般对人体无毒，具有良好的生物相容性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广泛用于软、硬组织修复、组织黏合剂、血液透析、角膜接触镜等方面，是最早应用的生物材料之一。常用的有：1、聚甲基丙烯酸甲酯(PMMA)，俗称亲水有机玻璃(见聚甲基丙烯酸甲酿)；2、聚甲基丙烯酸羟乙酯；3、&alpha;-氰基丙烯酸酯(见聚&alpha;-氰基丙烯酸酯)一种组织黏合剂。此外，带长臂侧基的聚甲基丙烯酸烷基磺酸酯，具有类假肝素的性质，表现出良好的抗凝血性；带有叔胺基的聚丙烯酸酯，可以转化成季铵盐，从而与肝素结合，制备抗凝血表面，带长臂侧基的聚甲基丙烯酸活性酯，可以在温和条件下连接酶和多肽等生物活性物质；聚丙烯酸酯共聚物的丙酮-乙酸乙酯溶液，可做成气雾制剂，用作外伤敷料等。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10,李兰君,聂宇
聚甲基丙烯酸甲酯,polymethylmethacrylate，PMMA。俗称有机玻璃,是一系列丙烯酸酯聚合物中最重要的一种,,50万～l00万,,"PMMA分三种构型：无规立构、问规立构、等规立构。PMMA的最高使用温度65～95&#8451;，脆化温度9.2&#8451;，马丁耐热温度80&#8451;，热变形温度115&#8451;(1.85MPa)，126&#8451;(0.46MPa)，容易燃烧。PMMA的透光率可达90%～92%,是透光率最高的热塑性塑料。耐磨性差，其静摩擦系数为0.8。PMMA的电性能、机械性能、耐化学腐蚀性均良好。甲基丙烯酸甲酯和丁二烯共聚，抗冲击性能很好，表面硬度较高；甲基丙烯酸甲酯和苯乙烯共聚，耐热性能提高20&#8451;，表面硬度得到一定的提高，具有良好的生物相容性",熔融温度160～200 &#8451;，维卡软化点113 &#8451;,,l05 &#8451;,1.19～1.22g/cm<sup>3</sup>,,,,,,,拉伸弹性模量 2410 MPa，压缩弹性模量 2760 Mpa,,77-91.7 MPa,极限拉伸强度24-28.2 MPa （PMMA骨水泥）,,"剪切强度41 MPa ,断裂韧性0.88-1.55 MN&#8451;m<sup>-3/2</sup>（PMMA骨水泥）",,,,,,,,,,"PMMA的透光率可达90%～92%,是透光率最高的热塑性塑料",,,,,,,,,,,,,,,PMMA骨水泥的缺点是在聚合过程中释放的热量能引起周围组织的坏死，冷固过程中骨水泥的收缩会在骨水泥和骨之间留下缝隙，使骨和骨水泥间形成薄弱连接。,,,在聚合过程中释放的热量能引起周围组织的坏死，冷同过程中骨水泥的收缩会在骨水泥和骨之间留下缝隙，这使骨与骨水泥间形成薄弱连接,主要用作人工骨、骨水泥、人工关节，以此还可以用作齿科材料、臂骼黏合剂和颅骨修补等方面。其中，一般的PMMA是一种在加压条件下受热固化的聚合物，而后者，即外科矫正用的PMMA是一种可用于混合的自固化聚合物,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚&alpha;-氰基丙烯酸甲酯,poly(&alpha;-cyanoacrylate),,,,丙烯酸酯分子中&alpha;碳上含有氰基的聚合物,强极性聚合物，溶于二甲基甲酰胺、硝基甲烷、乙腈等溶剂、加热至180&#8451;左右可分解；在-80&#8451;至软化点范围内均可有较高的抗拉强度。其单体在微量水等催化下可快速聚合成无色透明聚合物，固化时间为5～180s，加之&alpha;-氰基丙烯酸酯与蛋白质的氨基酸结合牢固，是常用的组织黏含剂,,,,相对密度 1.314 (20&#8451;),,,,,,,,,,33.1 MPa,,剪切强度 22 MPa,冲击强度0.3 J/cm<sup>2</sup>,,,0.0003741 N/cm,,,,,,1.443 (20&#8451;),,,,,,,,,,,,,,,,,,使用中要考虑聚合物在体内降解产物对组织的影响,临床上用于组织或皮肤黏结，破裂血管止血，管腔栓堵和黏合，神经连接，角膜手术，上颚裂的封闭，移动肾的固定，动脉血管瘤的加固保护，骨重建；骨和软骨断裂的修复，牙周敷料等。常用的&alpha;-氰基丙烯酸酯有甲酯、乙酯、丙酯、丁酯，异丁酯或戊酯等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P670,李兰君,聂宇
聚&alpha;-氰基丙烯酸乙酯,,,,,,,,,,相对密度 1.23 (20&#8451;),,,,,,,,,,25.5 MPa,,剪切强度 13.7 MPa,冲击强度0.3 J/cm<sup>2</sup>,,,0.0003432 N/cm,,,,,,1.486 (20&#8451;),,,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P670,李兰君,聂宇
聚&alpha;-氰基丙烯酸丁酯,,,,,,,,,,相对密度 1.145 (20&#8451;),,,,,,,,,,16.8 MPa,,剪切强度 4.5 MPa,冲击强度0.5 J/cm<sup>2</sup>,,,0.0003111 N/cm,,,,,,,,,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P670,李兰君,聂宇
聚乙烯吡咯烷酮,"Polyvinyl pyrrolidone, PVP",,,如图 PVP分子量的测定及表征；PVP MW.jpg),,是一种非离子型水溶性高分子化合物，是N-乙烯基酰胺类聚合物中最具特色、且被研究得最深入、广泛的精细化学品品种。PVP既溶于水，又溶于大部分有机溶剂，毒性很低，生物相容性好。,,,如图 PVP玻璃化转变温度与分子量的关系；PVP Tg.jpg),相对密度 1.25 (25&#8451;),,,,,,,,,,,,,,,,,,,,,,1.53 (25&#8451;),,,,,,,经急性静脉注射毒性试验LD<sub>50</sub>为12-15g/kg；大鼠口服毒性试验LD<sub>50</sub>为100g/kg；慢性口服毒性试验，用1%-3%的PVP的饲料喂养狗和鼠24个月，未见中毒症状。,,PVP对人体不具有抗原性，也不抑制抗体的生成，人体可从消化道、腹下、皮下及静脉途径接受，未发现对人有任何致癌作用。,PVP具有优良的生物相容性，对皮肤、黏膜、眼等不形成任何刺激。,PVP不被肠胃道吸收，在非肠胃道医药中低分子量的PVP很容易从肾系统排出，而高分子量的PVP排出速率慢。分子量较小的PVP几天内可完全从尿中排除；分子量较高的PVP会缓慢的在体内积贮，主要是在网状内皮组织细胞内积贮，特别是在脾、肝、淋巴结、骨髓及肾中暂时积贮。其积贮及消失程度与分子量、摄入量、摄入时间有关。,,,,PVP在正常剂量下长期用药，也未发生组织损伤。对人体进行临床口服试验表明，一次给药3-50g之间都没有发现组织损伤。,,,,,水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P217<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P668,李兰君,聂宇
聚亚烷基丙二酸酯,polyalkylene malonate,,,,,是一类快速固化的医用组织黏合剂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其中亚烷基丙二酸二烷基酯和亚烷基丙二酸二烯丙酯等与&alpha;-氰基丙烯酸的低级烷基酯一样，生物相容性差，组织吸收慢，在使用上受到很大的限制。,为克服上述缺点，发展了一种新的亚烷基丙二酸甲基、烯丙基酯黏结剂。已用于血管、组织、肌肉、骨和牙的黏结，其综合性能较好，应用范围也较广,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚丙烯酰胺,polyacrylamide，PAM,,丙烯酰胺的聚合物，系水溶性高分子,,,PAM对组织无毒，具有良好的生物相容性，但其单体有使神经肌肉功能失调的毒性，并对皮肤有刺激性，因此医用PAM中游离单体含量不得超过0.05%。PAM具有黏合性和絮凝性。由于含有亲水性和疏水性链段的嵌段共聚物能抗凝血，因而聚N，N-二取代丙烯酰胺，如聚N辛基-N-(2-羟乙基)丙烯酰胺P(OCTAAm)和聚N-苄基-N-(2-羟乙基)丙烯酰胺P(BENAAm)及共有关共聚物具有良好的血液相容性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可用丙烯酰胺水溶液，以过硫酸盐为引发剂进行溶液聚合或反相悬浮聚合(反相乳液聚合)等方法制造，有粉状、水溶液、乳液、珠状等形态,,用作医用黏结剂和合成生理黏液并正在研究用于合成人工血浆，其水凝胶具有抗凝血性和耐水稳定性好，吸水性强，可用于血液灌流的活性炭包覆微囊等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚醚,polyether,,,,分子主链中含醚键(-C-O-C-)的热塑性聚合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,根据反应物的性质和反应条件可制得多种不同性质和组成的聚醚,,常用的医用聚醚有：1、环氧树脂，由芳香二环氧化合物聚合而成，具有优良的化学耐蚀性和粘接力，用作齿科修复材料；2、聚环氧乙烷(聚氧化乙烯)，可用作药物缓释载体(见药物缀释一章)；3、聚氧化亚甲基，即聚甲醛(见前面)；4、聚环氧丙烷(聚氧化丙烯)，用于制作抗凝血的聚氨酯弹性体等。此外，氧化乙烯和氧化丙烯的ABA型嵌段共聚物，可用于制作含硝酸银的水凝胶敷料等，聚苯醚可用于制造医用器械等。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚乙二醇,,,,如图 各种牌号PEG的性质；PEG property.jpg),,,如图 各种牌号PEG的性质；PEG property.jpg),,,如图 各种牌号PEG的性质；PEG property.jpg),,,,,,,,,,,,,,,,如图 PEG水溶液的表面张力；PEG SurfaceTension.jpg),,,,,,如图 各种牌号PEG的性质；PEG property.jpg),,,,,,PEG是一类低毒或无毒的聚合物。,用含4%的PEG饲料喂养兔子40天，未见任何中毒症状。,,,PEG对皮肤无任何刺激性，对眼睛的刺激也很轻微。用4%的PEG水溶液滴入兔子眼中，未引起刺激作用。,,,,,,,,,,水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P117<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P671,李兰君,聂宇
泊洛沙姆407,,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口服液态泊洛沙姆的LD<sub>50</sub>为1g/kg以上，半固体和固体为10g/kg以上。其他途径给服，如静脉注射或腹腔内注射泊洛沙姆的LD<sub>50</sub>要低一些。,,,局部使用时，没有刺激性，也不会致敏。,泊洛沙姆分子不具有生物降解性，体内通过吞噬被消除。,,,,泊洛沙姆407具有特殊的反向热凝胶作用，即低温时（4-5&#8451;）为液体，体温下称为凝胶，其毒性低，刺激性小，生物相容性好，被广泛用于医学、要学领域。,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P672,李兰君,聂宇
Delrin均聚甲醛树脂,,,,,,,175 &#8451;,,,相对密度1.42,洛氏硬度：94(标尺M)，120(标尺R),,,,,,拉伸弹性模量364 GPa,,压缩强度126 MPa,70 MPa,弯曲强度98.7 MPa,,,25%(注塑成型)，75%(挤出成型),,,,,,,10.8*10<sup>-5</sup>  K<sup>-1</sup>,,介电常数(1MZH)3.7；介电损耗(1MZH) 0.0048,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P673,李兰君,聂宇
Celcon共聚甲醛树脂,,,,,,,165 &#8451;,,,相对密度0.41,洛氏硬度：78-80(标尺M),,,,,,拉伸弹性模量287 GPa,,压缩强度112 MPa,61.6 MPa,弯曲强度91 MPa,,,60-75%(注塑成型),,,,,,,7.6-11*10<sup>-5</sup>  K<sup>-1</sup>,,介电常数(1MZH)3.7；介电损耗(1MZH) 0.006,,,,,,,,,,,,,,,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P673,李兰君,聂宇
全氟化醚共聚物,polyfluoroether copolymer,,氟碳乳剂的一种，商品牌号为FreonE<sub>4</sub>,,无色透明的液体,化学性质和热性能稳定，无致癌性和致畸性，具有高度溶解氧和二氧化碳的能力，其溶解度分别为30%和77%(体积分数),,193℃,,,,,,,,,,,,,,,,,,15.2×10<sup>5</sup> N/mL(25℃),,,,,,,,,,,,,,,,,,,,,,,,显然FreonE<sub>4</sub>作为异物在血管内只能暂时而不是永久替代自然血，但这种暂时的取代并不妨碍机体造血功能的恢复,适于做具有气体交换功能的人工血液。可用于脏器灌流(代替血液、血浆及营养液来灌流离体脏器以维持其生存)、人工鳃、交换输血、急救输血、一氧化碳中毒的解救等方面,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
